cluster_id,news_count,unique_sources,sources,representative_title,citability_score
5,2,2,"t.me, akm.ru",Южуралзолото продано за 93 млрд руб.,4
70,2,2,"life.ru, vm.ru",За первые пять месяцев 2026 года Россия заметно увеличила поставки рыбы и морепродуктов в Китай.,4
75,2,2,"aif.ru, news.mail.ru",Участники 71-й Российской антарктической экспедиции и их зарубежные коллеги отметили праздник середины зимовки — Midwinter Day.,4
76,2,2,"russian.rt.com, news.mail.ru","В Кушве ввели режим ЧС из-за урагана, сообщили в департаменте информполитики Свердловского региона.",4
29,2,2,"news.mail.ru, kolomna-spravka.ru",Пожар после взрыва на газовом объекте в Катаре локализован,4
15,2,2,"t.me, m.interfax.ru","#MVIDАкционеры ""М.",4
27,2,2,"sport1.mirtesen.ru, news.mail.ru","Лука Дончич: «Европейские игроки живут баскетболом, поэтому у нас немного другой подход»",4
32,2,2,"russian.rt.com, news.mail.ru",Один беспилотник ликвидирован на подлёте к Москве.,4
36,2,2,"life.ru, osnmedia.ru","Летом россияне могут заметить снижение цен не только на овощи, фрукты и ягоды.",4
23,2,2,"t.me, akm.ru",Совкомбанк и VOLGA объявляют о старте сотрудничестваСовкомбанк и бренд VOLGA запускают совместную программу автокредитования — это важный шаг в поддержке отечественного автопрома и развития национальной промышленной инфраструктуры.,4
43,2,2,"ria.ru, m24.ru","Вертолет Robinson, пропавший в воскресенье в Тернейском районе Приморья, по предварительным данным, был в исправном техническом состоянии, сообщили РИА Новости в правоохранительных органах.",4
39,2,2,"altai.aif.ru, yar.aif.ru",В Бийске ликвидируют последствия пожара на местном полигоне твердых бытовых отходов.,4
64,2,2,"e-disclosure.ru, disclosure.ru","Сообщение о составлении списка владельцев инвестиционных паев БПИФ рыночных финансовых инструментов ""Первая - Фонд Ежемесячный доход"" 1.",4
63,2,2,"interfax-russia.ru, militarynews.ru",Белгород.,4
57,2,2,"russian.rt.com, nsn.fm",Задолженность по заработной плате перед работниками за 2025 год погасили на сумму более 18 млрд рублей.,4
56,2,2,"vm.ru, m24.ru",Неизвестные выбросили десятки самокатов кикшеринга в водоем на юге столицы.,4
59,2,2,"cbonds.ru, vedomosti.ru","""Авито"" скрыл объявления о продаже топлива, Ozon и Wildberries блокируют их при модерации",4
60,2,2,"m24.ru, aviaport.ru","Подавший сигнал тревоги самолет, следующий по рейсу DP-856 Гюмри – Москва, совершил посадку в Махачкале.",4
47,2,2,"belta.by, sb.by","В Минской области по программе ""Один район - один проект"" создано 1,3 тыс. рабочих мест
",4
48,2,2,"cbonds.ru, news.mail.ru","""Русолово"" запустит Амурский металлургический комбинат в Хабаровском крае в 2028 году",4
49,2,2,"m.interfax.ru, kolomna-spravka.ru",Мишустин поручил к февралю подготовить стратегию развития цифровых платформ в РФ,4
51,2,2,"yamal.aif.ru, aviaru.net",Авиакомпания «Ямал» выполнит дополнительный рейс из Тюмени в Новый Уренгой 27 июня.,4
46,2,2,"news.mail.ru, vedomosti.ru",Индекс Мосбиржи опустился ниже 2400 пунктов впервые с середины декабря 2024 года,4
35,2,2,"ria.ru, bel.aif.ru","Занятия в понедельник отменены в более чем 800 младших и средних школах по всей Франции из-за аномальной жары, сообщил министр национального образования страны Эдуар Жеффре.",4
40,2,2,"crimea.ria.ru, nsn.fm",Землетрясение магнитудой 3.6 произошло у берегов Крыма.,4
42,2,2,"yamal-media.ru, ntv.ru","По данным ведомства, беспилотники сбили над акваториями Азовского и Черного морей, Крымом, Московским регионом, Краснодарским краем, а также Брянской, Белгородской, Волгоградской, Воронежской, Курской, Калужской, Тамбовской, Тульской, Тверской, Смоленской, Ростовской областями.",4
68,2,2,"aviaru.net, aviaport.ru",Hainan Airlines с сентября увеличит частоту рейсов между Москвой и островом Хайнань,4
67,2,2,"vedomosti.ru, rusbonds.ru",   «ВТБ лизинг» разместило трехлетние облигации на 5 млрд рублей,4
55,4,1,cbonds.ru,«Монополия» допустила технический дефолт по 11-му купону облигаций серии 001P-06,4
54,4,1,cbonds.ru,Ставка 11-го купона по облигациям «ЛЕГЕНДА» серии 002Р-05 установлена на уровне 18.50% годовых,4
19,3,1,t.me,"headlines (про акции*, которые сильно падают сегодня):CNRU: -15.",3
24,3,1,t.me,💥🇷🇺#SOFL #buyback ПАО «Софтлайн» сообщило о намерении продолжать ранее объявленный обратный выкуп акций с рынка.,3
65,3,1,rusbonds.ru,"Во вторник, 23 июня, ожидаются выплаты купонных доходов по 71 выпускам облигаций на общую сумму 15,98 млрд руб.",3
13,3,1,t.me,"🔔 #alertИндекс Мосбиржи, все сессии (IMOEX2): падение &gt; 1.",3
11,2,1,t.me,"❗️Центробанк отказал Сбербанку, Альфа-Банку и Т-Банку в создании собственной платежной системы, сообщает РБК со ссылкой на источники.",2
7,2,1,t.me,🔔 #alertSi (фьючерс на доллар/рубль): рост &gt; 1% за последний час* фьючерс на Московской бирже,2
6,2,1,t.me,"⏺Индекс российских гособлигаций RGBI впервые за 4 месяца упал ниже 117 пунктов📊 На минимуме индикатор терял 0,61%, до 116,52 пункта.",2
1,2,1,t.me,Ведомости (про западные активы в России):🟠Активы недружественных стран сократились вдвое — с $481 млрд (₽35.,2
17,2,1,t.me,"🔔 #alertСамолет (SMLT): падение &gt; 10% с предыдущего дневного закрытия* относится к 1-му эшелону акций** показываются алерты на все акции с Мосбиржи(10% - для акций из индекса IMOEX, 1-го эшелона, hot names; 15% - 2-го эшелона; 20% - 3-го эшелона)",2
18,2,1,t.me,С 14 июля Мосбиржа увеличит на 2 часа время торгов на срочном рынке.,2
14,2,1,t.me,❗️🇷🇺#MVID #spo Акционеры М.,2
25,2,1,t.me,⬆️ Индекс Мосбиржи рухнул на 4.,2
38,2,1,energyland.info,«Е-Пром» представил быструю зарядную станцию для электромобилей на саммите Россия – АСЕАН в Казани,2
33,2,1,news.mail.ru,"Добровольцы, предположительно, нашли тело пропавшего на реке Сунжа мальчика",2
30,2,1,news.mail.ru,Подросток одним выстрелом случайно ранил 11 человек на свадьбе в Турции,2
16,2,1,t.me,"Американский экономист и многолетний глава Федеральной резервной системы США Алан Гринспен, скончался в возрасте 100 лет, сообщает CNBC.",2
21,2,1,t.me,"При взрыве на заводе СПГ в Катаре погибли 13 человек, сообщает Reuters.",2
22,2,1,t.me,"⚠️🇷🇺#акции #россия Индекс Мосбиржи (IMOEX) закрывает основную сессию фигурой технического анализа ""Писающий мальчик""",2
26,2,1,t.me,"Пошлины на экспорт отдельных видов алмазов, которые начнут действовать в сентябре, могут сократить EBITDA АЛРОСА на 29% в 2027 году, а в текущем году — на 15–16%.",2
52,2,1,vedomosti.ru,"   Цена акций Whoosh на Мосбирже упала на 5,3%",2
58,2,1,hab.aif.ru,"В Хабаровском крае суд удовлетворил иск природоохранного прокурора о взыскании ущерба, причинённого водным биологическим ресурсам, — сообщает Амурская бассейновая природоохранная прокуратура.",2
53,2,1,raexpert.ru,«Эксперт РА» подтвердил кредитный рейтинг ООО СК «Сбербанк страхование жизни» на уровне ruAAА,2
45,2,1,energyland.info,Ростех испытал устойчивый к РЭБ квадрокоптер «Сибирячок-5»,2
61,2,1,kuzbass.aif.ru,28 июня 2026 года Кемерово отметит День молодёжи.,2
71,2,1,rg.ru,"Строительство такой инфраструктуры - часть многочисленных шагов для развития системы образования в регионах, подчеркнул он.",2
69,2,1,rg.ru,"Как сообщили ""РГ"" в Институте сейсмологии и геодинамики КФУ, эпицентр этих землетрясений находился в море в 30 километрах на юго-запад от Севастополя на относительно небольшой глубине - около пяти километров.",2
74,2,1,news.mail.ru,Движение по Крымскому мосту возобновлено после пятого за день перекрытия,2
73,2,1,news.mail.ru,Мощный смерч прошел по Свердловской области. Видео,2
